,ID,Label,Alt Label 1,Alt Label 2,Definition,Definition Source,RDF Type,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Parent IRI,Equivalent,Equivalent,Equivalent,Disjoint Classes,Individual,Property Assertions,Super Property,Domain,Range,Characteristic
1200,http://purl.org/pan-science/PaNET/PaNET01200,x-ray emission spectroscopy,XES,,,https://en.wikipedia.org/wiki/X-ray_emission_spectroscopy,owl:Class,,,,,inelastic x-ray scattering,,,PaNET:PaNET01034,x-ray probe-based techniques,('photon emission-based techniques' and 'spectroscopy-based techniques'),,,,,,,
1201,http://purl.org/pan-science/PaNET/PaNET01201,electron spectroscopy-based techniques,,,,https://en.wikipedia.org/wiki/Electron_spectroscopy,owl:Class,,,,,,,,electron emission-based techniques,spectroscopy-based techniques,,,,,,,,
1202,http://purl.org/pan-science/PaNET/PaNET01202,photoelectron spectroscopy,PES,,,https://en.wikipedia.org/wiki/Photoemission_spectroscopy,owl:Class,,,,,,,,electron spectroscopy-based techniques,photon probe-based techniques,PaNET:PaNET01073,,,,,,,
1203,http://purl.org/pan-science/PaNET/PaNET01203,spin resolved photoelectron spectroscopy,,,,,owl:Class,,,,,,,,photoelectron spectroscopy,versus emitted polarization-based techniques,,,,,,,,
1204,http://purl.org/pan-science/PaNET/PaNET01204,x-ray photoelectron spectroscopy,XPS,,,https://en.wikipedia.org/wiki/X-ray_photoelectron_spectroscopy,owl:Class,,,,,,,,x-ray probe-based techniques,photoelectron spectroscopy,,,,,,,,
1205,http://purl.org/pan-science/PaNET/PaNET01205,x-ray photon correlation spectroscopy,XPCS,,,https://en.wikipedia.org/wiki/X-ray_Photon_Correlation_Spectroscopy,owl:Class,,,,,,,,x-ray probe-based techniques,photon correlation spectroscopy-based techniques,,,,,,,,
1206,http://purl.org/pan-science/PaNET/PaNET01206,microtomography-based techniques,,,,,owl:Class,,,,,,,,tomography-based techniques,PaNET:PaNET01068,,,,,,,,
1207,http://purl.org/pan-science/PaNET/PaNET01207,x-ray tomography-based techniques,CT scan,,,https://en.wikipedia.org/wiki/CT_scan,owl:Class,,,,,,,,tomography-based techniques,x-ray probe-based techniques,,,,,,,,
1208,http://purl.org/pan-science/PaNET/PaNET01208,x-ray microtomography-based techniques,,,,https://en.wikipedia.org/wiki/Talk:X-ray_microtomography,owl:Class,,,,,,,,microtomography-based techniques,x-ray probe-based techniques,,,,,,,,
1209,http://purl.org/pan-science/PaNET/PaNET01209,absorption microtomography-based techniques,Absorption-based tomographic microscopy,,,,owl:Class,,,,,,,,microtomography-based techniques,absorption-based techniques,,,,,,,,
1210,http://purl.org/pan-science/PaNET/PaNET01210,propagation phase contrast microtomography-based techniques,,,,,owl:Class,,,,,,,,propagation phase contrast tomography-based techniques,microscopy-based techniques,,,,,,,,
1211,http://purl.org/pan-science/PaNET/PaNET01211,ultrafast microtomography-based techniques,Ultra-fast tomographic microscopy,,,,owl:Class,,,,,,,,ultrafast tomography-based techniques,PaNET:PaNET01068,,,,,,,,
1212,http://purl.org/pan-science/PaNET/PaNET01212,ptychography,,,,https://en.wikipedia.org/wiki/Ptychography,owl:Class,coherent diffraction imaging-based techniques,PaNET:PaNET00104,,,,,,,,,,,,,,,
1213,http://purl.org/pan-science/PaNET/PaNET01213,ptychographic nanotomography,,,,,owl:Class,,,,,,,,ptychography,nanotomography-based techniques,,,,,,,,
1214,http://purl.org/pan-science/PaNET/PaNET01214,instrumentation testing-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2020075),,,,,,,,,
1215,http://purl.org/pan-science/PaNET/PaNET01215,optics characterization-based techniques,,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2020076),,,,,,,,,
1216,http://purl.org/pan-science/PaNET/PaNET01216,x-ray diffraction,XRD,,,,owl:Class,,,,,,,,PaNET:PaNET01022,x-ray probe-based techniques,,,,,,,,
1217,http://purl.org/pan-science/PaNET/PaNET01217,neutron diffraction,,,,https://en.wikipedia.org/wiki/Neutron_diffraction,owl:Class,,,,,,,,PaNET:PaNET01022,neutron probe-based techniques,,,,,,,,
1218,http://purl.org/pan-science/PaNET/PaNET01218,ambient pressure x-ray photoelectron spectroscopy,,,,,owl:Class,x-ray photoelectron spectroscopy,,,,,,,,,,,,,,,,
1219,http://purl.org/pan-science/PaNET/PaNET01219,scanning transmission x-ray microscopy,STXM,,,https://en.wikipedia.org/wiki/Scanning_transmission_X-ray_microscopy,owl:Class,,,,,,,,scanning transmission microscopy,x-ray probe-based techniques,,,,,,,,
1220,http://purl.org/pan-science/PaNET/PaNET01220,total electron yield-based techniques,TEY,,,,owl:Class,electron emission-based techniques,,,,,,,,,,,,,,,,
1221,http://purl.org/pan-science/PaNET/PaNET01221,XMCD total electron yield,XMCD TEY,x-ray magnetic circular dichorism total electron yield,,,owl:Class,,,,,,,,x-ray magnetic circular dichroism,total electron yield-based techniques,,,,,,,,
1222,http://purl.org/pan-science/PaNET/PaNET01222,spin and angle resolved photoemission spectroscopy,,,,,owl:Class,,,,,,,,angle resolved photoemission spectroscopy,versus emitted polarization-based techniques,,,,,,,,
1223,http://purl.org/pan-science/PaNET/PaNET01223,lithography-based techniques,,,,https://en.wikipedia.org/wiki/Lithography,owl:Class,,,,,,,,('supports' some PaNET:PaNET2020077),,,,,,,,,
1224,http://purl.org/pan-science/PaNET/PaNET01224,x-ray lithography-based techniques,,,,https://en.wikipedia.org/wiki/X-ray_lithography,owl:Class,,,,,,,,x-ray probe-based techniques,PaNET:PaNET01223,,,,,,,,
1225,http://purl.org/pan-science/PaNET/PaNET01225,EUV lithography-based techniques,extreme ultra violet lithography,,,,owl:Class,,,,,,,,EUV photon probe-based techniques,PaNET:PaNET01223,,,,,,,,
1226,http://purl.org/pan-science/PaNET/PaNET01226,x-ray interference lithography,,,,,owl:Class,interferometry-based techniques,x-ray probe-based techniques,PaNET:PaNET01223,,,,,,,,,,,,,,
1227,http://purl.org/pan-science/PaNET/PaNET01227,x-ray absorption,,,,,owl:Class,,,,,,,,absorption-based techniques,x-ray probe-based techniques,,,,,,,,
1228,http://purl.org/pan-science/PaNET/PaNET01228,nonresonant diffraction-based techniques,,,,,owl:Class,,,,,,,,('definedbyprocess' some PaNET:PaNET2020078),,,,,,,,,
1229,http://purl.org/pan-science/PaNET/PaNET01229,nonlinear x-ray spectroscopy,,,,,owl:Class,,,,,,,,PaNET:PaNET00211,x-ray spectroscopy-based techniques,,,,,,,,
1230,http://purl.org/pan-science/PaNET/PaNET01230,single-shot imaging-based techniques,,,,,owl:Class,,,,,,,,single shot-based techniques,PaNET:PaNET01106,,,,,,,,
1231,http://purl.org/pan-science/PaNET/PaNET01231,nanoimprint lithography-based techniques,,,,https://en.wikipedia.org/wiki/Nanoimprint_lithography,owl:Class,PaNET:PaNET01223,,,,,,,('supports' some PaNET:PaNET2020079),,,,,,,,,
1232,http://purl.org/pan-science/PaNET/PaNET01232,grayscale lithography-based techniques,,,,,owl:Class,PaNET:PaNET01223,,,,,,,('supports' some PaNET:PaNET2020080),,,,,,,,,
1233,http://purl.org/pan-science/PaNET/PaNET01233,polymer micro- and nanografting-based techniques,,,"create micro- or nanostructures by radiation-induced bond breaking in a polymer substrates, which initiates grafting via thermal decomposition of formed (hydro)peroxides in a controlled, degassed monomer environment (radiation grafting)",doi:10.1016/B978-0-323-35322-9.00002-4,owl:Class,manufacturing-based techniques,,,,,,,('supports' some PaNET:PaNET2020081),,,,,,,,,
1234,http://purl.org/pan-science/PaNET/PaNET01234,high resolution neutron powder diffraction,,,,,owl:Class,,,,,,,,neutron powder diffraction,high momentum transfer resolution scattering-based techniques,,,,,,,,
1235,http://purl.org/pan-science/PaNET/PaNET01235,high resolution thermal neutron powder diffraction,,,,,owl:Class,,,,,,,,high resolution neutron powder diffraction,thermal neutron probe-based techniques,,,,,,,,
1236,http://purl.org/pan-science/PaNET/PaNET01236,neutron single crystal diffraction,,,,,owl:Class,,,,,,,,single crystal diffraction-based techniques,neutron diffraction,,,,,,,,
1237,http://purl.org/pan-science/PaNET/PaNET01237,thermal neutron single crystal diffraction,,,,,owl:Class,,,,,,,,neutron single crystal diffraction,thermal neutron probe-based techniques,,,,,,,,
1238,http://purl.org/pan-science/PaNET/PaNET01238,pulse overlap diffraction,,,,,owl:Class,,,,,,,,x-ray photon correlation spectroscopy,PaNET:PaNET01002,,,,,,,,
1239,http://purl.org/pan-science/PaNET/PaNET01239,neutron reflectometry,neutron reflectivity,,,https://en.wikipedia.org/wiki/Neutron_reflectometry,owl:Class,,,,,,,,reflectometry-based techniques,neutron probe-based techniques,,,,,,,,
1240,http://purl.org/pan-science/PaNET/PaNET01240,ultra small angle neutron scattering,,,,,owl:Class,very small angle neutron scattering,,,,,,,ultra small angle scattering-based techniques,small angle neutron scattering,,,,,,,,
1241,http://purl.org/pan-science/PaNET/PaNET01241,ultra small angle x-ray scattering,USAXS,,,,owl:Class,,,,,,,,ultra small angle scattering-based techniques,x-ray probe-based techniques,,,,,,,,
1242,http://purl.org/pan-science/PaNET/PaNET01242,neutron scattering,,,,https://en.wikipedia.org/wiki/Neutron_scattering,owl:Class,,,,,,,,scattering-based techniques,neutron probe-based techniques,,,,,,,,
1243,http://purl.org/pan-science/PaNET/PaNET01243,polarized neutron reflectometry,polarized neutron reflectivity,,,,owl:Class,,,,,,,,neutron reflectometry,versus polarization-based techniques,,,,,,,,
1244,http://purl.org/pan-science/PaNET/PaNET01244,time of flight spectrometry-based techniques,TOF spectrometry,TOF spectroscopy,,,owl:Class,,,,,,,,spectroscopy-based techniques,neutron time of flight-based techniques,,,,,,,,
1245,http://purl.org/pan-science/PaNET/PaNET01245,inelastic neutron spectroscopy,inelastic neutron scattering spectroscopy,inelastic neutron scattering,,Neutron spectroscopy - Wikipedia,owl:Class,,,,,,,,PaNET:PaNET01034,neutron probe-based techniques,spectroscopy-based techniques,,,,,,,
1246,http://purl.org/pan-science/PaNET/PaNET01246,cold neutron spectroscopy,,,,,owl:Class,,,,,,,,inelastic neutron spectroscopy,cold neutron probe-based techniques,,,,,,,,
1247,http://purl.org/pan-science/PaNET/PaNET01247,thermal neutron spectroscopy,,,,,owl:Class,inelastic neutron spectroscopy,thermal neutron probe-based techniques,,,,,,,,,,,,,,,
1248,http://purl.org/pan-science/PaNET/PaNET01248,neutron transmission radiography,,,,,owl:Class,,,,,,,,neutron probe-based techniques,absorption-based techniques,PaNET:PaNET01106,,,,,,,
1249,http://purl.org/pan-science/PaNET/PaNET01249,cold neutron imaging-based techniques,,,,,owl:Class,,,,,,,,PaNET:PaNET01106,cold neutron probe-based techniques,,,,,,,,
1250,http://purl.org/pan-science/PaNET/PaNET01250,high resolution neutron imaging-based techniques,,,,,owl:Class,,,,,,,,PaNET:PaNET01106,PaNET:PaNET01068,neutron probe-based techniques,,,,,,,
1251,http://purl.org/pan-science/PaNET/PaNET01251,THz near field microscopy-based techniques,,,,,owl:Class,,,,,,,,THz photon probe-based techniques,microscopy-based techniques,PaNET:PaNET00104,,,,,,,
1252,http://purl.org/pan-science/PaNET/PaNET01252,magnetic scattering-based techniques,,,,,owl:Class,scattering-based techniques,magnetism-based techniques,,,,,,,,,,,,,,,
1253,http://purl.org/pan-science/PaNET/PaNET01253,magnetic diffraction-based techniques,,,,,owl:Class,,,,,,,,PaNET:PaNET01022,magnetic scattering-based techniques,,,,,,,,
1254,http://purl.org/pan-science/PaNET/PaNET01254,microfocus x-ray fluorescence,,,,,owl:Class,,,,,,,,PaNET:PaNET00106,x-ray emission-based techniques,,,,,,,,
1255,http://purl.org/pan-science/PaNET/PaNET01255,ellipsometry,,,,https://en.wikipedia.org/wiki/Ellipsometry,owl:Class,,,,,,,,versus emitted polarization-based techniques,reflection-based techniques,photon probe-based techniques,,,,,,,
1256,http://purl.org/pan-science/PaNET/PaNET01256,polarimetry-based techniques,,,,,owl:Class,versus emitted polarization-based techniques,,,,,,,,,,,,,,,,
1257,http://purl.org/pan-science/PaNET/PaNET01257,UV photoelectron emission,ultra violet photoelectron emission,,,,owl:Class,,,,,,,,UV photon probe-based techniques,photoelectron emission,,,,,,,,
1258,http://purl.org/pan-science/PaNET/PaNET01258,x-ray photoelectron emission,,,,,owl:Class,,,,,,,,x-ray probe-based techniques,photoelectron emission,,,,,,,,
1259,http://purl.org/pan-science/PaNET/PaNET01259,x-ray magnetic linear dichroism,XMLD,,,,owl:Class,,,,,,,,x-ray probe-based techniques,magnetic linear dichroism,,,,,,,,
1260,http://purl.org/pan-science/PaNET/PaNET01260,resonant elastic x-ray scattering,REXS,,,,owl:Class,,,,,,,,resonant x-ray scattering,PaNET:PaNET01020,resonant scattering-based techniques,,,,,,,
1261,http://purl.org/pan-science/PaNET/PaNET01261,x-ray refraction imaging,x-ray refraction radiography,,,,owl:Class,,,,,,,,x-ray probe-based techniques,refraction-based techniques,PaNET:PaNET01106,,,,,,,
1262,http://purl.org/pan-science/PaNET/PaNET01262,x-ray refraction tomography,,,,,owl:Class,,,,,,,,x-ray probe-based techniques,propagation phase contrast tomography-based techniques,,,,,,,,
1263,http://purl.org/pan-science/PaNET/PaNET01263,time dependent scattering-based techniques,time resolved scattering,,,,owl:Class,,,,,,,,time dependent study-based techniques,scattering-based techniques,,,,,,,,
1264,http://purl.org/pan-science/PaNET/PaNET01264,time dependent diffraction-based techniques,time resolved diffraction,,,,owl:Class,,,,,,,,time dependent scattering-based techniques,PaNET:PaNET01022,,,,,,,,
1265,http://purl.org/pan-science/PaNET/PaNET01265,time dependent absorption-based techniques,time resolved absorption,,,,owl:Class,,,,,,,,time dependent study-based techniques,absorption-based techniques,,,,,,,,
1266,http://purl.org/pan-science/PaNET/PaNET01266,x-ray holography,,,,,owl:Class,,,,,,,,holography-based techniques,x-ray probe-based techniques,,,,,,,,
1267,http://purl.org/pan-science/PaNET/PaNET01267,ion imaging,,,,,owl:Class,,,,,,,,ion emission-based techniques,photon probe-based techniques,versus emission momentum-based techniques,,,,,,,
1268,http://purl.org/pan-science/PaNET/PaNET01268,mass spectrometry,,,,https://en.wikipedia.org/wiki/Mass_spectrometry,owl:Class,versus emission mass-based techniques,,,,,,,,,,,,,,,,
1269,http://purl.org/pan-science/PaNET/PaNET01269,photoelectron emission,,,,https://en.wikipedia.org/wiki/Photoelectric_effect,owl:Class,,,,,,,,photon probe-based techniques,electron emission-based techniques,,,,,,,,
1270,http://purl.org/pan-science/PaNET/PaNET01270,nuclear resonant scattering-based techniques,,,,,owl:Class,,,,,,,,PaNET:PaNET01050,resonant scattering-based techniques,,,,,,,,
1271,http://purl.org/pan-science/PaNET/PaNET01271,microfocus x-ray scattering,,,,,owl:Class,,,,,,,,x-ray scattering,PaNET:PaNET00106,,,,,,,,
1272,http://purl.org/pan-science/PaNET/PaNET01272,nanofocus x-ray scattering,,,,,owl:Class,,,,,,,,microfocus x-ray scattering,PaNET:PaNET01004,,,,,,,,
1273,http://purl.org/pan-science/PaNET/PaNET01273,small angle inelastic scattering-based techniques,,,,,owl:Class,,,,,,,,PaNET:PaNET01034,PaNET:PaNET01124,,,,,,,,
1274,http://purl.org/pan-science/PaNET/PaNET01274,anomalous small angle x-ray scattering,ASAXS,,,,owl:Class,,,,,,,,resonant x-ray scattering,PaNET:PaNET01124,('x-ray probe-based techniques' and 'resonant elastic x-ray scattering'),,,,,,,
1275,http://purl.org/pan-science/PaNET/PaNET01275,anomalous solution x-ray scattering,ASAX,,,,owl:Class,anomalous small angle x-ray scattering,,,,,,,,,,,,,,,,
1276,http://purl.org/pan-science/PaNET/PaNET01276,grazing incidence small angle neutron scattering,GISANS,,,https://en.wikipedia.org/wiki/Grazing-incidence_small-angle_scattering,owl:Class,,,,,,,,grazing incidence small angle scattering-based techniques,small angle neutron scattering,,,,,,,,
1277,http://purl.org/pan-science/PaNET/PaNET01277,time of flight small angle neutron scattering,,,,,owl:Class,,,,,,,,small angle neutron scattering,time of flight-based techniques,,,,,,,,
1278,http://purl.org/pan-science/PaNET/PaNET01278,very small angle neutron scattering,VSANS,,,,owl:Class,small angle neutron scattering,,,,,,,,,,,,,,,,
1279,http://purl.org/pan-science/PaNET/PaNET01279,diffuse small angle scattering-based techniques,,,,,owl:Class,,,,,,,,PaNET:PaNET01124,PaNET:PaNET01021,,,,,,,,
1280,http://purl.org/pan-science/PaNET/PaNET01280,diffuse small angle x-ray scattering,,,,,owl:Class,,,,,,,,diffuse small angle scattering-based techniques,x-ray probe-based techniques,,,,,,,,
1281,http://purl.org/pan-science/PaNET/PaNET01281,inelastic x-ray small angle scattering,,,,,owl:Class,,,,,,,,small angle x-ray scattering,inelastic x-ray scattering,small angle inelastic scattering-based techniques,,,,,,,
1282,http://purl.org/pan-science/PaNET/PaNET01282,soft x-ray small angle scattering,,,,,owl:Class,,,,,,,,small angle x-ray scattering,soft x-ray probe-based techniques,,,,,,,,
1283,http://purl.org/pan-science/PaNET/PaNET01283,soft x-ray diffraction,,,,,owl:Class,,,,,,,,soft x-ray probe-based techniques,PaNET:PaNET01022,,,,,,,,
1284,http://purl.org/pan-science/PaNET/PaNET01284,x-ray photoelectron diffraction,,,,,owl:Class,,,,,,,,photoelectron diffraction,x-ray probe-based techniques,,,,,,,,
1285,http://purl.org/pan-science/PaNET/PaNET01285,x-ray imaging-based techniques,,,,https://en.wikipedia.org/wiki/Radiography,owl:Class,,,,,,,,PaNET:PaNET01106,x-ray probe-based techniques,,,,,,,,
1286,http://purl.org/pan-science/PaNET/PaNET01286,micro small angle x-ray scattering tomography,micro SAXS tomography,,,,owl:Class,microtomography-based techniques,small angle x-ray scattering,,,,,,,,,,,,,,,
1287,http://purl.org/pan-science/PaNET/PaNET01287,micro grazing incidence small angle x-ray scattering tomography,micro GISAXS tomography,,,,owl:Class,micro small angle x-ray scattering tomography,grazing incidence small angle x-ray scattering,,,,,,,,,,,,,,,
1288,http://purl.org/pan-science/PaNET/PaNET01288,scanning x-ray fluorescence,,,,,owl:Class,,,,,,,,PaNET:PaNET01177,scanning probe imaging-based techniques,,,,,,,,
1289,http://purl.org/pan-science/PaNET/PaNET01289,soft x-ray imaging-based techniques,,,,,owl:Class,,,,,,,,soft x-ray probe-based techniques,x-ray imaging-based techniques,,,,,,,,
1290,http://purl.org/pan-science/PaNET/PaNET01290,x-ray diffraction imaging,,,,,owl:Class,,,,,,,,diffraction imaging-based techniques,x-ray probe-based techniques,,,,,,,,
1291,http://purl.org/pan-science/PaNET/PaNET01291,scanning angle resolved photoemission spectromicroscopy,,,,,owl:Class,,,,,,,,angle resolved photoemission spectroscopy,scanning probe microscopy-based techniques,,,,,,,,
1292,http://purl.org/pan-science/PaNET/PaNET01292,nano angle resolved photoemission spectroscopy,nano ARPES,,,,owl:Class,,,,,,,,scanning angle resolved photoemission spectromicroscopy,PaNET:PaNET01004,,,,,,,,
1293,http://purl.org/pan-science/PaNET/PaNET01293,scanning photoelectron microscopy,,,,,owl:Class,,,,,,,,photoemission electron microscopy,PaNET:PaNET00104,,,,,,,,
1294,http://purl.org/pan-science/PaNET/PaNET01294,x-ray photoemission electron microscopy,,,,,owl:Class,,,,,,,,photoemission electron microscopy,x-ray probe-based techniques,,,,,,,,
1295,http://purl.org/pan-science/PaNET/PaNET01295,x-ray scanning microscopy-based techniques,scanning x-ray microscopy,,,,owl:Class,,,,,,,,x-ray microscopy-based techniques,PaNET:PaNET00104,,,,,,,,
1296,http://purl.org/pan-science/PaNET/PaNET01296,high resolution core-level photoemission spectroscopy,,,,,owl:Class,,,,,,,,high resolution photoelectron spectroscopy,PaNET:PaNET01054,,,,,,,,
1297,http://purl.org/pan-science/PaNET/PaNET01297,high resolution x-ray photoelectron spectroscopy,HR-XPS,,,,owl:Class,,,,,,,,x-ray photoelectron spectroscopy,high resolution photoelectron spectroscopy,,,,,,,,
1298,http://purl.org/pan-science/PaNET/PaNET01298,elastic neutron scattering spectroscopy,resolution elastic neutron scattering,RENS,,,owl:Class,,,,,,,,PaNET:PaNET01020,neutron probe-based techniques,('spectroscopy-based techniques' and PaNET:PaNET00403),,,,,,,
1299,http://purl.org/pan-science/PaNET/PaNET01299,high resolution inelastic neutron scattering,,,,,owl:Class,,,,,,,,inelastic neutron spectroscopy,high energy resolution emission-based techniques,,,,,,,,
1300,http://purl.org/pan-science/PaNET/PaNET01300,x-ray linear dichroism,,,,,owl:Class,,,,,,,,linear dichroism,x-ray probe-based techniques,,,,,,,,
1301,http://purl.org/pan-science/PaNET/PaNET01301,x-ray magnetochiral dichroism-based techniques,XMChiD,,,,owl:Class,,,,,,,,magnetochiral dichroism-based techniques,x-ray probe-based techniques,,,,,,,,
1302,http://purl.org/pan-science/PaNET/PaNET01302,x-ray natural circular dichroism-based techniques,XNCD,,,,owl:Class,,,,,,,,natural circular dichroism-based techniques,x-ray probe-based techniques,,,,,,,,
1303,http://purl.org/pan-science/PaNET/PaNET01303,x-ray natural linear dichroism,XNLD,,,,owl:Class,,,,,,,,natural linear dichroism,x-ray probe-based techniques,,,,,,,,
1304,http://purl.org/pan-science/PaNET/PaNET01304,fragment screening-based techniques,crystallographic fragment screening,,,https://en.wikipedia.org/wiki/Fragment-based_lead_discovery,owl:Class,,,,,,,,macromolecular crystallography-based techniques,PaNET:PaNET00405,,,,,,,,
1305,http://purl.org/pan-science/PaNET/PaNET01305,long wavelength crystallography,,,,,owl:Class,,,,,,,,macromolecular crystallography-based techniques,tender x-ray probe-based techniques,,,,,,,,
1306,http://purl.org/pan-science/PaNET/PaNET01306,microfocus macromolecular crystallography,microfocus MX,,,,owl:Class,,,,,,,,macromolecular crystallography-based techniques,microfocus x-ray scattering,,,,,,,,
1307,http://purl.org/pan-science/PaNET/PaNET01307,nanofocus macromolecular crystallography,nanofocus MX,,,,owl:Class,,,,,,,,macromolecular crystallography-based techniques,nanofocus x-ray scattering,,,,,,,,
1308,http://purl.org/pan-science/PaNET/PaNET01308,molecular replacement-based techniques,MR,,,https://en.wikipedia.org/wiki/Molecular_replacement,owl:Class,macromolecular crystallography-based techniques,,,,,,,,,,,,,,,,
1309,http://purl.org/pan-science/PaNET/PaNET01309,time resolved serial femtosecond crystallography,TR-SFX,,,,owl:Class,,,,,,,,serial femtosecond crystallography,time dependent diffraction-based techniques,,,,,,,,
1310,http://purl.org/pan-science/PaNET/PaNET01310,fixed target serial synchrotron crystallography,FT-SSX,,,,owl:Class,serial synchrotron crystallography,,,,,,,,,,,,,,,,
1311,http://purl.org/pan-science/PaNET/PaNET01311,lipidic cubic phase serial synchrotron crystallography,LCP-SSX,,,,owl:Class,serial synchrotron crystallography,macromolecular crystallography-based techniques,,,,,,,,,,,,,,,
1312,http://purl.org/pan-science/PaNET/PaNET01312,time resolved serial synchrotron crystallography,TR-SSX,,,,owl:Class,,,,,,,,serial synchrotron crystallography,time dependent diffraction-based techniques,,,,,,,,
1313,http://purl.org/pan-science/PaNET/PaNET01313,magnetic x-ray tomography-based techniques,,,,,owl:Class,,,,,,,,magnetism-based techniques,x-ray tomography-based techniques,,,,,,,,
1314,http://purl.org/pan-science/PaNET/PaNET01314,correlative light x-ray microscopy-based techniques,CLXM,,,,owl:Class,,,,,,,,x-ray microscopy-based techniques,optical microscopy-based techniques,,,,,,,,
1315,http://purl.org/pan-science/PaNET/PaNET01315,cryo x-ray microscopy-based techniques,,,,,owl:Class,x-ray microscopy-based techniques,,,,,,,,,,,,,,,,
1316,http://purl.org/pan-science/PaNET/PaNET01316,grazing incidence wide angle x-ray scattering,GIWAXS,,,,owl:Class,,,,,,,,wide angle x-ray scattering,PaNET:PaNET01098,,,,,,,,
1317,http://purl.org/pan-science/PaNET/PaNET01317,high resolution angle resolved photoemission spectroscopy,HR-ARPES,,,,owl:Class,,,,,,,,angle resolved photoemission spectroscopy,high resolution photoelectron spectroscopy,,,,,,,,
1318,http://purl.org/pan-science/PaNET/PaNET01318,atomic force microscopy,AFM,,,https://en.wikipedia.org/wiki/Atomic_force_microscopy,owl:Class,,,,,,,,PaNET:PaNET00103,PaNET:PaNET00210,(PaNET:PaNET00104 and 'microscopy-based techniques'),,,,,,,
1319,http://purl.org/pan-science/PaNET/PaNET01319,atomic force microscope infrared spectroscopy,AFM-IR,,,https://en.wikipedia.org/wiki/AFM-IR,owl:Class,,,,,,,,atomic force microscopy,infrared spectroscopy-based techniques,,,,,,,,
1320,http://purl.org/pan-science/PaNET/PaNET01320,fourier transform infrared spectroscopy,FTIR,,,https://en.wikipedia.org/wiki/Fourier-transform_infrared_spectroscopy,owl:Class,infrared spectroscopy-based techniques,interferometry-based techniques,,,,,,,,,,,,,,,
1321,http://purl.org/pan-science/PaNET/PaNET01321,energy dispersive extended x-ray absorption fine structure,EDE,ED-EXAFS,,,owl:Class,,,,,,,,energy dispersive x-ray spectroscopy,extended x-ray absorption fine structure,,,,,,,,
1322,http://purl.org/pan-science/PaNET/PaNET01322,microfocus x-ray absorption spectroscopy,,,,,owl:Class,,,,,,,,PaNET:PaNET00106,x-ray absorption spectroscopy,,,,,,,,
1323,http://purl.org/pan-science/PaNET/PaNET01323,radiotherapy-based techniques,radiation therapy,,,https://en.wikipedia.org/wiki/Radiation_therapy,owl:Class,,,,,,,,('supports' some PaNET:PaNET2020082),,,,,,,,,
1324,http://purl.org/pan-science/PaNET/PaNET01324,surface crystallography-based techniques,obtain surface atomic structure,,,,owl:Class,,,,,,,,('supports' some PaNET:PaNET2020083),,,,,,,,,
1325,http://purl.org/pan-science/PaNET/PaNET01325,borrmann effect,,,,https://en.wikipedia.org/wiki/Borrmann_effect,owl:Class,x-ray standing wave,single crystal diffraction-based techniques,PaNET:PaNET01023,,,,,,,,,,,,,,
1326,http://purl.org/pan-science/PaNET/PaNET01326,birefringence,,,,,owl:Class,,,,,,,,refraction-based techniques,versus photon linear polarization-based techniques,,,,,,,,
1327,http://purl.org/pan-science/PaNET/PaNET01327,x-ray birefringence imaging ,XBI,,,https://en.wikipedia.org/wiki/X-ray_birefringence_imaging,owl:Class,,,,,,,,birefringence,x-ray probe-based techniques,PaNET:PaNET01106,,,,,,,
1328,http://purl.org/pan-science/PaNET/PaNET01328,divergent beam diffraction-based techniques,,,,,owl:Class,PaNET:PaNET01022,,,,,,,('definedbyprocess' some PaNET:PaNET2020084),,,,,,,,,
1329,http://purl.org/pan-science/PaNET/PaNET01329,kossel lines-based techniques,,,,,owl:Class,,,,,,,,PaNET:PaNET01328,PaNET:PaNET01177,,,,,,,,
1330,http://purl.org/pan-science/PaNET/PaNET01330,diffuse multiple scattering-based techniques,,,,,owl:Class,,,,,,,,PaNET:PaNET01328,PaNET:PaNET01021,,,,,,,,
1331,http://purl.org/pan-science/PaNET/PaNET01331,MHz x-ray microscopy-based techniques,,,X-ray microscopy that operates on time scales less than one microsecond with femtosecond illumination,https://doi.org/10.1364/OPTICA.6.001106,owl:Class,,,,,,,,x-ray microscopy-based techniques,hard x-ray probe-based techniques,('versus time ultrafast-based techniques' and PaNET:PaNET00105 and 'single shot-based techniques'),,,,,,,
1332,http://purl.org/pan-science/PaNET/PaNET01332,x-ray propagation phase contrast tomography,,,,,owl:Class,propagation phase contrast tomography-based techniques,x-ray probe-based techniques,,,,,,,,,,,,,,,
1333,http://purl.org/pan-science/PaNET/PaNET01333,x-ray propagation phase contrast microtomography,PPC-SrμCT,,,,owl:Class,x-ray propagation phase contrast tomography,,,,,,,,,,,,,,,,
1334,http://purl.org/pan-science/PaNET/PaNET01334,x-ray phase contrast imaging-based techniques,XPCI,,Phase contrast imaging conducted with x-rays,https://en.wikipedia.org/wiki/Phase-contrast_imaging,owl:Class,,,,,,,,PaNET:PaNET01116,PaNET:PaNET01012,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
